Amazon Connect - Historical Metrics Report
Instance,aibl-contact-centre-prod
Instance ARN,arn:aws:connect:eu-west-1:community:instance/7c41e8b2-aibl-prod
Report Name,Queue Daily Performance
Time Zone,Europe/Dublin
Interval,Daily
Start Date,2026-04-01
End Date,2026-04-30
Reporting Period,April 2026

Queue Name,Date,Calls Offered,Calls Answered,Calls Abandoned,Avg Speed to Answer (s),Abandonment Rate (%),Avg Handle Time (s),QA Score (%)
Claims Support,2026-04-22,253,243,10,19.5,4.0,353,92.3
Complaints,2026-04-22,136,129,7,16.2,5.1,314,89.3
New Business Enquiries,2026-04-22,250,238,12,15.9,4.8,316,95.5
Policy Servicing,2026-04-22,325,314,11,7.1,3.4,406,95.3
Claims Support,2026-04-23,257,245,12,15.8,4.7,257,88.6
Complaints,2026-04-23,129,124,5,19.8,3.9,350,93.8
New Business Enquiries,2026-04-23,277,264,13,6.9,4.7,394,96.1
Policy Servicing,2026-04-23,352,337,15,14.0,4.3,330,92.6
Claims Support,2026-04-24,229,221,8,21.4,3.5,359,87.4
Complaints,2026-04-24,122,116,6,16.4,4.9,316,96.8
New Business Enquiries,2026-04-24,224,212,12,22.3,5.4,296,97.7
Policy Servicing,2026-04-24,346,338,8,17.0,2.3,320,93.0
Claims Support,2026-04-27,339,332,7,6.7,2.1,289,93.4
Complaints,2026-04-27,177,172,5,21.4,2.8,408,90.0
New Business Enquiries,2026-04-27,253,240,13,16.5,5.1,345,90.2
Policy Servicing,2026-04-27,445,423,22,17.9,4.9,347,89.7
Claims Support,2026-04-28,202,193,9,10.5,4.5,414,96.5
Complaints,2026-04-28,140,134,6,18.9,4.3,317,97.6
New Business Enquiries,2026-04-28,242,229,13,17.6,5.4,321,95.1
Policy Servicing,2026-04-28,367,354,13,8.6,3.5,298,96.9
Claims Support,2026-04-29,209,204,5,22.6,2.4,328,89.9
Complaints,2026-04-29,136,133,3,18.5,2.2,297,96.4
New Business Enquiries,2026-04-29,203,192,11,19.6,5.4,398,96.1
Policy Servicing,2026-04-29,359,344,15,14.7,4.2,334,87.8
Claims Support,2026-04-30,259,253,6,11.6,2.3,314,91.1
Complaints,2026-04-30,160,155,5,21.3,3.1,260,88.0
New Business Enquiries,2026-04-30,218,205,13,17.2,6.0,299,93.1
Policy Servicing,2026-04-30,383,366,17,21.8,4.4,402,94.2
