Amazon Connect - Historical Metrics Report
Instance,aibl-contact-centre-prod
Instance ARN,arn:aws:connect:eu-west-1:community:instance/7c41e8b2-aibl-prod
Report Name,Queue Daily Performance
Time Zone,Europe/Dublin
Interval,Daily
Start Date,2026-06-01
End Date,2026-06-30
Reporting Period,June 2026

Queue Name,Date,Calls Offered,Calls Answered,Calls Abandoned,Avg Speed to Answer (s),Abandonment Rate (%),Avg Handle Time (s),QA Score (%)
Policy Servicing,2026-06-15,674,650,24,23.1,3.6,354,93.5
Claims Support,2026-06-16,255,238,17,17.5,6.7,425,85.7
Complaints,2026-06-16,208,195,13,13.7,6.3,307,93.3
New Business Enquiries,2026-06-16,315,301,14,14.5,4.4,289,96.6
Policy Servicing,2026-06-16,451,424,27,13.6,6.0,292,90.6
Claims Support,2026-06-17,334,321,13,26.6,3.9,376,92.4
Complaints,2026-06-17,216,208,8,10.0,3.7,409,90.9
New Business Enquiries,2026-06-17,294,279,15,22.8,5.1,373,86.2
Policy Servicing,2026-06-17,446,429,17,11.3,3.8,320,96.3
Claims Support,2026-06-18,339,320,19,7.1,5.6,285,86.6
Complaints,2026-06-18,215,205,10,20.3,4.7,318,92.4
New Business Enquiries,2026-06-18,346,329,17,28.4,4.9,414,97.3
Policy Servicing,2026-06-18,561,543,18,29.1,3.2,383,93.4
Claims Support,2026-06-19,251,239,12,14.6,4.8,384,85.9
Complaints,2026-06-19,173,164,9,17.8,5.2,375,88.7
New Business Enquiries,2026-06-19,280,261,19,23.1,6.8,286,88.3
Policy Servicing,2026-06-19,475,445,30,29.6,6.3,348,94.4
Claims Support,2026-06-22,433,417,16,10.8,3.7,393,88.3
Complaints,2026-06-22,248,238,10,7.5,4.0,420,95.7
New Business Enquiries,2026-06-22,411,394,17,15.1,4.1,295,96.7
Policy Servicing,2026-06-22,576,547,29,13.7,5.0,428,93.1
Claims Support,2026-06-23,312,298,14,19.6,4.5,399,94.5
Complaints,2026-06-23,219,204,15,28.2,6.8,349,94.5
New Business Enquiries,2026-06-23,352,330,22,16.3,6.3,302,90.3
Policy Servicing,2026-06-23,509,494,15,26.9,2.9,363,93.5
Claims Support,2026-06-24,259,249,10,26.4,3.9,326,94.9
Complaints,2026-06-24,161,150,11,16.9,6.8,396,90.6
New Business Enquiries,2026-06-24,314,302,12,28.9,3.8,378,95.4
Policy Servicing,2026-06-24,544,521,23,27.9,4.2,332,90.8
Claims Support,2026-06-25,303,282,21,19.5,6.9,390,87.8
Complaints,2026-06-25,159,152,7,19.6,4.4,320,96.2
New Business Enquiries,2026-06-25,261,243,18,25.6,6.9,291,93.6
Policy Servicing,2026-06-25,500,474,26,20.8,5.2,366,90.4
Claims Support,2026-06-26,287,275,12,11.2,4.2,436,92.7
Complaints,2026-06-26,145,141,4,26.3,2.8,293,92.8
New Business Enquiries,2026-06-26,252,238,14,22.5,5.6,281,86.6
Policy Servicing,2026-06-26,421,393,28,16.7,6.7,318,88.5
Claims Support,2026-06-29,348,323,25,24.8,7.2,357,91.1
Complaints,2026-06-29,244,228,16,19.3,6.6,371,94.6
New Business Enquiries,2026-06-29,370,360,10,19.4,2.7,440,87.2
Policy Servicing,2026-06-29,664,619,45,29.1,6.8,337,93.4
Claims Support,2026-06-30,282,267,15,28.8,5.3,354,88.8
Complaints,2026-06-30,175,168,7,19.7,4.0,435,96.9
New Business Enquiries,2026-06-30,298,287,11,17.0,3.7,285,94.7
Policy Servicing,2026-06-30,413,393,20,15.9,4.8,345,95.3
