Amazon Connect - Historical Metrics Report
Instance,aibl-contact-centre-prod
Instance ARN,arn:aws:connect:eu-west-1:community:instance/7c41e8b2-aibl-prod
Report Name,Queue Daily Performance
Time Zone,Europe/Dublin
Interval,Daily
Start Date,2026-07-01
End Date,2026-07-31
Reporting Period,July 2026

Queue Name,Date,Calls Offered,Calls Answered,Calls Abandoned,Avg Speed to Answer (s),Abandonment Rate (%),Avg Handle Time (s),QA Score (%)
Complaints,2026-07-24,122,119,3,13.4,2.5,406,97.5
New Business Enquiries,2026-07-24,246,235,11,28.0,4.5,293,93.4
Policy Servicing,2026-07-24,327,319,8,9.0,2.4,308,87.6
Claims Support,2026-07-27,335,322,13,21.6,3.9,316,86.8
Complaints,2026-07-27,226,219,7,14.6,3.1,322,88.7
New Business Enquiries,2026-07-27,313,296,17,12.8,5.4,321,90.2
Policy Servicing,2026-07-27,595,573,22,23.2,3.7,283,92.3
Claims Support,2026-07-28,281,265,16,26.8,5.7,345,89.9
Complaints,2026-07-28,129,124,5,23.8,3.9,383,87.9
New Business Enquiries,2026-07-28,260,252,8,9.8,3.1,348,94.6
Policy Servicing,2026-07-28,336,328,8,17.5,2.4,422,86.0
Claims Support,2026-07-29,249,238,11,24.9,4.4,357,95.9
Complaints,2026-07-29,168,164,4,7.2,2.4,367,85.8
New Business Enquiries,2026-07-29,269,259,10,14.8,3.7,322,90.8
Policy Servicing,2026-07-29,399,376,23,26.3,5.8,285,85.8
Claims Support,2026-07-30,216,211,5,24.5,2.3,311,87.0
Complaints,2026-07-30,172,166,6,17.7,3.5,272,91.7
New Business Enquiries,2026-07-30,268,258,10,9.3,3.7,278,90.3
Policy Servicing,2026-07-30,439,422,17,25.4,3.9,378,96.2
Claims Support,2026-07-31,190,180,10,12.7,5.3,411,97.6
Complaints,2026-07-31,123,119,4,11.8,3.3,274,94.1
New Business Enquiries,2026-07-31,227,221,6,13.6,2.6,281,89.4
Policy Servicing,2026-07-31,361,347,14,25.6,3.9,348,94.8
